DeviceName,Minimum Secure Boot BIOS,SMBios Version
LAPPW0C5RGF,R2IET30W (v1.30) ,
LAPPW0C5RGR,R2IET30W (v1.30) ,
LAPPW0C5RGS,R2IET30W (v1.30) ,
LAPPW0C5RGT,R2IET30W (v1.30) ,
LAPPW0C5RGX,R2IET30W (v1.30) ,
LAPPW0C5RH0,R2IET30W (v1.30) ,
LAPPW0C5RH1,R2IET30W (v1.30) ,
LAPPW0C5RH2,R2IET30W (v1.30) ,
LAPPW0C5RH3,R2IET30W (v1.30) ,
LAPPW0C5RH5,R2IET30W (v1.30) ,
LAPPW0C5RHA,R2IET30W (v1.30) ,
LAPPW0C5RHG,R2IET30W (v1.30) ,
LAPPW0C5RHJ,R2IET30W (v1.30) ,
LAPPW0C5RHL,R2IET30W (v1.30) ,
LAPPW0C5RHM,R2IET30W (v1.30) ,
LAPPW0C5RHT,R2IET30W (v1.30) ,
LAPPW0C5RHY,R2IET30W (v1.30) ,
LAPPW0C5RHZ,R2IET30W (v1.30) ,
LAPPW0C5RQG,R2IET30W (v1.30) ,
LAPPW0EQ0VK,R2IET30W (v1.30) ,
LAPPW0EQ0WP,R2IET30W (v1.30) ,
LAPPW0EQ0WY,R2IET30W (v1.30) ,
LAPPW0EQ0X5,R2IET30W (v1.30) ,
LAPPW0EQ0Y2,R2IET30W (v1.30) ,
LAPPW0EQ0Y3,R2IET30W (v1.30) ,
LAPPW0FDJM0,R2IET30W (v1.30) ,
